pca_0,pca_1
-2.8183014552010297,0.10942727644467638
-2.889952542832944,0.08145474897065129
-2.8669682644517116,0.05076645357611933
-2.9622969641084365,0.0994295588398922
-2.926865221933402,0.07625909505875987
-2.8227755899685767,0.10790559803184967
-2.879035931542212,0.11730695968645402
-3.089672080816159,0.11205534789251188
-2.8798725373432292,0.12899699758985203
-2.8741002292651365,0.02701646399094049
-2.8015865534147935,0.1295912833570885
-2.928503760152522,0.1255091810878796
-2.8653626714331826,0.13664964579325464
-2.9631007905346687,0.017100804682267396
-2.8048366944635714,0.12372670801609849
-2.8981760882503904,0.1088211742450909
-2.950116246624813,0.00873694268826846
-2.9591395984889504,0.008693665283557037
-2.7493440040471873,0.041741072112796866
-2.800958894794855,0.11566714949382817
-2.7834279150430805,0.15572747562960151
-2.969857949516286,0.0645460533572395
-3.057920855907104,0.11954735284221092
-2.925946230895174,0.14255512885627003
-2.994839921087044,0.048228531712784045
-2.8964621909932013,0.04153418886790584
-2.897126111590552,0.0945718798167401
-2.8510145508871,0.09837533381338313
-2.97583108019473,0.11707693372796509
-2.917460408608244,-0.000694607214084048
