pca_0,pca_1
-2.883142671674677,0.42547136924180434
-3.644546106478649,-0.3040824725363704
-2.9905727768970607,-0.06316680652970466
-3.0250795327947357,0.05660191536927539
-2.949578306801193,-0.1320493860264914
-2.925993445847997,-0.18132376284244245
-3.2801209940061753,0.3660728764832364
-2.752585314535015,0.05016251651662008
-2.6473609642380764,0.00673587421457318
-2.9187318653570835,0.27192457192893393
-3.8430992472879617,-0.06561904705064978
-2.590978359036261,-0.07670905730492147
-2.347758559090156,0.4019265115253486
-2.8793974635186914,-0.23978830986700944
-3.8772510401061577,-0.23197840680243018
-2.2709276664501497,-0.02308158977043851
-3.0584914299969883,-0.18112389224821998
-2.526931999220689,0.18995184426896966
-2.7777472214277212,-0.038310647142326675
-3.608862199909014,-0.4387330265057055
-3.2622858760460978,-0.28978295004353705
-2.903636829306225,0.1864889068744914
-2.3768203289431384,-0.04530448523031933
-3.2085514539074733,0.44381591250710717
-3.0039340224118303,-0.22353288549478134
-3.3493227861101764,-0.07607958611784701
-2.653760913802835,0.0011406767049817169
-3.1263353857520477,0.12165430995368104
-3.5335979907965456,-0.4667541351632622
-3.22575497444077,0.09304012454007966
